city,store_id,yday_order,yday_revenue,gmv,yday_user,mtd_order,mtd_revenue,mtd_gmv,mtd_user,yday_new_customer,mtd_new_customer,yday_order_growth,mtd_order_growth,yday_revenue_growth,mtd_gmv_growth,mtd_revenue_growth,live_store_count,live_product_count,lm_order,lm_revenue,lm_gmv,lm_live_store
" Katy",S0013,2,3137.22,5647,2,7,10857.22,19543,7,2,4,5,121,4470.00,0,0.00,4,5,5,8059.44,14507,1
" Knoxville",S0015,1,2765.00,4977,1,3,7126.67,12828,3,1,1,5,121,4470.00,0,0.00,4,5,2,626.11,1127,1
" Naples",S0102,1,2367.22,4261,1,7,11075.56,19936,7,1,1,5,121,4470.00,0,0.00,4,5,9,11753.33,21156,1
" Seattle",S0131,1,1154.44,2078,1,7,8153.33,14676,7,1,2,5,121,4470.00,0,0.00,4,5,5,4422.22,7960,1
