Order_Range,"Yday Customers","Yday Orders","Yday Orders By Customers","MTD Customers","MTD Orders","MTD Orders By Customers","LMTD Customers","LMTD Orders","LMTD Orders By Customers","LM Customers","LM Orders","LM Orders By Customers"
1-500,0,0,0.0000,16,16,1.0000,11,11,1.0000,12,12,1.0000
501-1000,0,0,0.0000,18,18,1.0000,11,11,1.0000,13,13,1.0000
1001-2000,0,0,0.0000,28,28,1.0000,32,32,1.0000,27,27,1.0000
2001-3000,2,2,1.0000,35,35,1.0000,28,28,1.0000,20,20,1.0000
3001-4000,1,1,1.0000,28,28,1.0000,24,24,1.0000,28,28,1.0000
4001-5000,2,2,1.0000,36,36,1.0000,30,30,1.0000,29,29,1.0000
